respondent_id,books_read_1year,print_books,audiobooks,ebooks,smartphone,ebook_reader,tablet,laptop,gender,age,education,is_frequent_reader
100514,97.0,yes,yes,yes,no,yes,no,yes,,62.0,Unknown,1
100515,12.0,yes,no,no,yes,no,no,yes,,54.0,Four-year college degree or bachelor's degree,1
100525,80.0,yes,no,yes,yes,no,no,yes,,62.0,Postgraduate or professional degree,1
100541,2.0,yes,no,no,no,no,no,yes,,25.0,Four-year college degree or bachelor's degree,0
100554,4.0,yes,no,yes,yes,no,yes,yes,,49.0,Postgraduate or professional degree,0
100563,3.0,yes,no,no,yes,no,no,yes,,60.0,"Some college, no degree",0
100568,6.0,yes,no,no,yes,no,no,yes,,53.0,Postgraduate or professional degree,1
100570,97.0,yes,no,no,yes,no,no,yes,,72.0,Unknown,1
100573,1.0,yes,yes,no,yes,no,no,yes,,66.0,Unknown,0
100575,0.0, , , ,no,no,no,no,,85.0,"Some college, no degree",0
100579,10.0,no,yes,yes,yes,yes,yes,yes,,60.0,Two-year associate degree,1
100581,20.0,yes,no,no,yes,no,no,yes,,53.0,Postgraduate or professional degree,1
100584,3.0,yes,no,no,yes,no,no,yes,,70.0,Unknown,0
100588,4.0,yes,no,no,yes,no,no,yes,,17.0,High school graduate or GED,0
100594,0.0, , , ,yes,no,no,no,,66.0,"Some college, no degree",0
100599,15.0,yes,no,no,yes,no,yes,yes,,23.0,Postgraduate or professional degree,1
100600,0.0, , , ,yes,no,no,yes,,75.0,Four-year college degree or bachelor's degree,0
100602,3.0,yes,no,no,yes,no,yes,no,,52.0,Postgraduate or professional degree,0
100603,0.0, , , ,yes,no,no,no,,67.0,"Some college, no degree",0
100614,0.0, , , ,no,no,no,no,,87.0,Two-year associate degree,0
100623,5.0,yes,no,no,yes,no,yes,yes,,19.0,"Some college, no degree",1
100624,5.0,yes,no,yes,yes,no,no,yes,,56.0,"Some college, no degree",1
100629,1.0,no,,,no,no,no,no,,60.0,Less than high school,0
100636,0.0, , , ,yes,no,no,yes,,,,0
100646,, , , ,no,no,no,no,,86.0,Four-year college degree or bachelor's degree,0
100659,8.0,yes,no,no,yes,no,yes,yes,,58.0,Unknown,1
100668,1.0,yes,no,no,yes,no,yes,yes,,64.0,"Some college, no degree",0
100670,2.0,yes,no,no,yes,no,yes,yes,,63.0,Unknown,0
100692,1.0,yes,no,no,no,no,no,yes,,53.0,Less than high school,0
100693,0.0, , , ,yes,no,no,yes,,49.0,Postgraduate or professional degree,0
100694,3.0,yes,no,no,yes,yes,no,no,,70.0,"Some college, no degree",0
100698,25.0,yes,no,yes,yes,yes,yes,yes,,72.0,Unknown,1
100699,0.0, , , ,yes,no,yes,yes,,58.0,Postgraduate or professional degree,0
100700,15.0,no,yes,yes,yes,yes,yes,yes,,40.0,Postgraduate or professional degree,1
100710,40.0,yes,no,yes,yes,yes,no,yes,,72.0,"Some college, no degree",1
100711,3.0,yes,no,no,yes,no,yes,yes,,68.0,Postgraduate or professional degree,0
